property_id,assessor_parcel_id,pin,site_address,zip_code,council_district,community_plan_area,neighborhood_council,base_zoning,base_zoning_description,full_zoning_code,general_plan_land_use,specific_plan_area,overlay_count,lot_size_sqft,building_size_sqft,year_built,number_of_units,use_code,assessed_land_value,assessed_improvement_value,total_assessed_value,toc_eligible,opportunity_zone,high_quality_transit,residential_market_area,commercial_market_area,methane_zone,flood_zone,fault_zone,rent_stabilization,housing_replacement_required,data_completeness_score
1,4306-026-007,129B165 778,9406 W OAKMORE RD,90035,CD 5 - Katy Young Yaroslavsky,West Los Angeles,South Robertson,R1,Single Family Residential,R1V2,Low Residential,,0,7172.3,4648.0,1996.0,1.0,0100 - Residential - Single Family Residence,537555.0,769552.0,1307107.0,False,Not Eligible,,High,High,Methane Zone,Outside Flood Zone,,No [APN: 4306026007],,87.5
2,4306-026-008,129B165 783,9400 W OAKMORE RD,90035,CD 5 - Katy Young Yaroslavsky,West Los Angeles,South Robertson,R1,Single Family Residential,R1V2,Low Residential,,0,7172.3,2835.0,1948.0,1.0,0100 - Residential - Single Family Residence,458469.0,169955.0,628424.0,False,Not Eligible,,High,High,Methane Zone,Outside Flood Zone,,No [APN: 4306026008],,87.5
3,4306-026-009,129B165 786,9350 W OAKMORE RD,90035,CD 5 - Katy Young Yaroslavsky,West Los Angeles,South Robertson,R1,Single Family Residential,R1V2,Low Residential,,0,7052.9,3016.0,1941.0,1.0,0100 - Residential - Single Family Residence,338584.0,472665.0,811249.0,False,Not Eligible,,High,High,Methane Zone,Outside Flood Zone,,No [APN: 4306026009],,87.5
4,4306-026-010,129B165 794,9344 W OAKMORE RD,90035,CD 5 - Katy Young Yaroslavsky,West Los Angeles,South Robertson,R1,Single Family Residential,R1V2,Low Residential,,0,7052.8,2106.0,1941.0,1.0,0100 - Residential - Single Family Residence,464152.0,171791.0,635943.0,False,Not Eligible,,High,High,Methane Zone,Outside Flood Zone,,No [APN: 4306026010],,87.5
5,4306-026-011,129B165 800,9338 W OAKMORE RD,90035,CD 5 - Katy Young Yaroslavsky,West Los Angeles,South Robertson,R1,Single Family Residential,R1V2,Low Residential,,0,6771.8,2046.0,1941.0,1.0,0100 - Residential - Single Family Residence,443241.0,225424.0,668665.0,False,Not Eligible,,High,High,Methane Zone,Outside Flood Zone,,No [APN: 4306026011],,87.5
6,4306-026-012,129B165 810,9332 W OAKMORE RD,90035,CD 5 - Katy Young Yaroslavsky,West Los Angeles,South Robertson,R1,Single Family Residential,R1V2,Low Residential,,0,6682.9,4656.0,2005.0,1.0,0100 - Residential - Single Family Residence,1636063.0,3555046.0,5191109.0,False,Not Eligible,,High,High,Methane Zone,Outside Flood Zone,,No [APN: 4306026012],,87.5
7,4306-026-013,129B169 1169,9326 W OAKMORE RD,90035,CD 5 - Katy Young Yaroslavsky,West Los Angeles,South Robertson,R1,Single Family Residential,R1V2,Low Residential,,0,6867.1,2761.0,1941.0,1.0,0100 - Residential - Single Family Residence,1115240.0,419322.0,1534562.0,False,Not Eligible,,High,High,Methane Zone,Outside Flood Zone,,No [APN: 4306026013],,87.5
8,4306-026-014,129B169 1179,9320 W OAKMORE RD,90035,CD 5 - Katy Young Yaroslavsky,West Los Angeles,South Robertson,R1,Single Family Residential,R1V2,Low Residential,,0,7216.8,5031.0,2007.0,1.0,0101 - Residential - Single Family Residence - Pool,1554392.0,1387676.0,2942068.0,False,Not Eligible,,High,High,Methane Zone,Outside Flood Zone,,No [APN: 4306026014],,87.5
9,4306-026-015,129B169 1188,9314 W OAKMORE RD,90035,CD 5 - Katy Young Yaroslavsky,West Los Angeles,South Robertson,R1,Single Family Residential,R1V2,Low Residential,,0,7490.4,4349.0,2017.0,1.0,0101 - Residential - Single Family Residence - Pool,2098446.0,1944012.0,4042458.0,False,Not Eligible,,High,High,Methane Zone,Outside Flood Zone,,No [APN: 4306026015],,87.5
10,4306-026-016,129B169 1192,9308 W OAKMORE RD,90035,CD 5 - Katy Young Yaroslavsky,West Los Angeles,South Robertson,R1,Single Family Residential,R1V2,Low Residential,,0,7592.2,4581.0,1940.0,1.0,0101 - Residential - Single Family Residence - Pool,340992.0,681740.0,1022732.0,False,Not Eligible,,High,High,Methane Zone,Outside Flood Zone,,No [APN: 4306026016],,87.5
11,4306-026-017,129B169 1194,9302 W OAKMORE RD,90035,CD 5 - Katy Young Yaroslavsky,West Los Angeles,South Robertson,R1,Single Family Residential,R1V2,Low Residential,,0,9967.5,2547.0,1941.0,1.0,0100 - Residential - Single Family Residence,196524.0,158758.0,355282.0,False,Not Eligible,,High,High,Methane Zone,Outside Flood Zone,,No [APN: 4306026017],,87.5
12,4306-026-018,129B169 1268,9301 W CRESTA DR,90035,CD 5 - Katy Young Yaroslavsky,West Los Angeles,South Robertson,R1,Single Family Residential,R1V2,Low Residential,,0,8319.2,3801.0,1978.0,1.0,0104 - Residential - Single Family Residence - Therapy Pool (Spa),529218.0,704572.0,1233790.0,False,Not Eligible,,High,High,Methane Zone,Outside Flood Zone,,No [APN: 4306026018],,87.5
13,4306-026-019,129B169 1269,9309 W CRESTA DR,90035,CD 5 - Katy Young Yaroslavsky,West Los Angeles,South Robertson,R1,Single Family Residential,R1V2,Low Residential,,0,6487.6,4650.0,1948.0,1.0,0100 - Residential - Single Family Residence,965543.0,1120770.0,2086313.0,False,Not Eligible,,High,High,Methane Zone,Outside Flood Zone,,No [APN: 4306026019],,87.5
14,4306-026-020,129B169 1264,9315 W CRESTA DR,90035,CD 5 - Katy Young Yaroslavsky,West Los Angeles,South Robertson,R1,Single Family Residential,R1V2,Low Residential,,0,6569.8,2954.0,1947.0,1.0,0104 - Residential - Single Family Residence - Therapy Pool (Spa),121292.0,228880.0,350172.0,False,Not Eligible,,High,High,Methane Zone,Outside Flood Zone,,No [APN: 4306026020],,87.5
15,4306-026-021,129B169 1259,9321 W CRESTA DR,90035,CD 5 - Katy Young Yaroslavsky,West Los Angeles,South Robertson,R1,Single Family Residential,R1V2,Low Residential,,0,6900.7,2028.0,1941.0,1.0,0100 - Residential - Single Family Residence,147434.0,129225.0,276659.0,False,Not Eligible,,High,High,Methane Zone,Outside Flood Zone,,No [APN: 4306026021],,87.5
16,4306-026-022,129B169 1248,9327 W CRESTA DR,90035,CD 5 - Katy Young Yaroslavsky,West Los Angeles,South Robertson,R1,Single Family Residential,R1V2,Low Residential,,0,7080.1,3470.0,1942.0,1.0,0101 - Residential - Single Family Residence - Pool,1321422.0,1429000.0,2750422.0,False,Not Eligible,,High,High,Methane Zone,Outside Flood Zone,,No [APN: 4306026022],,87.5
17,4306-026-023,129B169 1237,9333 W CRESTA DR,90035,CD 5 - Katy Young Yaroslavsky,West Los Angeles,South Robertson,R1,Single Family Residential,R1V2,Low Residential,,0,7080.1,2317.0,1941.0,1.0,0100 - Residential - Single Family Residence,508814.0,276227.0,785041.0,False,Not Eligible,,High,High,Methane Zone,Outside Flood Zone,,No [APN: 4306026023],,87.5
18,4306-026-024,129B165 860,9339 W CRESTA DR,90035,CD 5 - Katy Young Yaroslavsky,West Los Angeles,South Robertson,R1,Single Family Residential,R1V2,Low Residential,,0,7079.8,3340.0,1948.0,1.0,0100 - Residential - Single Family Residence,477036.0,532291.0,1009327.0,False,Not Eligible,,High,High,Methane Zone,Outside Flood Zone,,No [APN: 4306026024],,87.5
19,4306-026-025,129B165 848,9345 W CRESTA DR,90035,CD 5 - Katy Young Yaroslavsky,West Los Angeles,South Robertson,R1,Single Family Residential,R1V2,Low Residential,,0,7310.7,8604.0,2022.0,1.0,0103 - Residential - Single Family Residence - Pool and Misc.,1087614.0,3596433.0,4684047.0,False,Not Eligible,,High,High,Methane Zone,Outside Flood Zone,,No [APN: 4306026025],,87.5
20,4306-026-026,129B165 841,9351 W CRESTA DR,90035,CD 5 - Katy Young Yaroslavsky,West Los Angeles,South Robertson,R1,Single Family Residential,R1V2,Low Residential,,0,7509.0,2943.0,1941.0,1.0,0100 - Residential - Single Family Residence,74396.0,73728.0,148124.0,False,Not Eligible,,High,High,Methane Zone,Outside Flood Zone,,No [APN: 4306026026],,87.5
21,4306-026-027,129B165 830,,,CD 5 - Katy Young Yaroslavsky,West Los Angeles,South Robertson,R1,Single Family Residential,R1V2,Low Residential,,0,3863.6,5398.0,2005.0,1.0,0101 - Residential - Single Family Residence - Pool,1091447.0,1407309.0,2498756.0,False,Not Eligible,,High,High,Methane Zone,Outside Flood Zone,,No [APN: 4306026027],,81.2
22,4306-026-030,129B165 821,9415 W CRESTA DR,90035,CD 5 - Katy Young Yaroslavsky,West Los Angeles,South Robertson,R1,Single Family Residential,R1V2,Low Residential,,0,7609.8,3405.0,1942.0,1.0,0101 - Residential - Single Family Residence - Pool,821072.0,532979.0,1354051.0,False,Not Eligible,,High,High,Methane Zone,Outside Flood Zone,,No [APN: 4306026030],,87.5
23,4306-026-031,129B165 819,9419 W CRESTA DR,90035,CD 5 - Katy Young Yaroslavsky,West Los Angeles,South Robertson,R1,Single Family Residential,R1V2,Low Residential,,0,7537.4,3277.0,1940.0,1.0,0101 - Residential - Single Family Residence - Pool,188657.0,295439.0,484096.0,False,Not Eligible,,High,High,Methane Zone,Outside Flood Zone,,No [APN: 4306026031],,87.5
24,4306-026-032,129B165 822,9425 W CRESTA DR,90035,CD 5 - Katy Young Yaroslavsky,West Los Angeles,South Robertson,R1,Single Family Residential,R1V2,Low Residential,,0,7572.2,2860.0,1954.0,1.0,0100 - Residential - Single Family Residence,199914.0,0.0,199914.0,False,Not Eligible,,High,High,Methane Zone,Outside Flood Zone,,No [APN: 4306026032],,87.5
25,4306-026-033,129B165 823,9431 W CRESTA DR,90035,CD 5 - Katy Young Yaroslavsky,West Los Angeles,South Robertson,R1,Single Family Residential,R1V2,Low Residential,,0,7460.9,2538.0,1941.0,1.0,0101 - Residential - Single Family Residence - Pool,570577.0,166370.0,736947.0,False,Not Eligible,,High,High,Methane Zone,Outside Flood Zone,,No [APN: 4306026033],,87.5
