property_id,assessor_parcel_id,pin,site_address,zip_code,council_district,community_plan_area,neighborhood_council,base_zoning,base_zoning_description,full_zoning_code,general_plan_land_use,specific_plan_area,overlay_count,lot_size_sqft,building_size_sqft,year_built,number_of_units,use_code,assessed_land_value,assessed_improvement_value,total_assessed_value,toc_eligible,opportunity_zone,high_quality_transit,residential_market_area,commercial_market_area,methane_zone,flood_zone,fault_zone,rent_stabilization,housing_replacement_required,data_completeness_score,development_score,score_breakdown,suggested_use,investment_tier,latitude,longitude,dist_downtown_miles,dist_santa_monica_miles,dist_hollywood_miles,dist_lax_miles,dist_ucla_miles,dist_usc_miles,nearest_metro_station,nearest_metro_distance,nearest_metro_lines,freeway_distance_miles,walkability_score,location_premium_bonus,transit_accessibility_bonus,highway_access_bonus,total_geographic_bonus,enhanced_development_score,enhanced_investment_tier,enhanced_suggested_use
1,4306-026-007,129B165 778,9406 W OAKMORE RD,90035,CD 5 - Katy Young Yaroslavsky,West Los Angeles,South Robertson,R1,Single Family Residential,R1V2,Low Residential,,0,7172.3,4648.0,1996.0,1.0,0100 - Residential - Single Family Residence,537555.0,769552.0,1307107.0,False,Not Eligible,,High,High,Methane Zone,Outside Flood Zone,,No [APN: 4306026007],,87.5,31.14,"{""zoning_score"": 40.0, ""lot_size_score"": 70.57433333333333, ""transit_bonus"": 0.0, ""financial_score"": 0.0, ""risk_penalty"": 5.0}",Hold/Income Property,D,34.0522,-118.33776,5.4,9.09,3.45,8.57,6.27,3.65,Koreatown/Wilshire,1.78,Purple,2.47,55,0.0,2.0,0.0,2.0,33.14,D,Hold/Income Property
2,4306-026-008,129B165 783,9400 W OAKMORE RD,90035,CD 5 - Katy Young Yaroslavsky,West Los Angeles,South Robertson,R1,Single Family Residential,R1V2,Low Residential,,0,7172.3,2835.0,1948.0,1.0,0100 - Residential - Single Family Residence,458469.0,169955.0,628424.0,False,Not Eligible,,High,High,Methane Zone,Outside Flood Zone,,No [APN: 4306026008],,87.5,32.64,"{""zoning_score"": 40.0, ""lot_size_score"": 70.57433333333333, ""transit_bonus"": 0.0, ""financial_score"": 15.0, ""risk_penalty"": 5.0}",SB9 Lot Split Opportunity,D,34.0522,-118.3377,5.39,9.09,3.45,8.57,6.27,3.65,Koreatown/Wilshire,1.78,Purple,2.47,55,0.0,2.0,0.0,2.0,34.64,D,SB9 Lot Split Opportunity
3,4306-026-009,129B165 786,9350 W OAKMORE RD,90035,CD 5 - Katy Young Yaroslavsky,West Los Angeles,South Robertson,R1,Single Family Residential,R1V2,Low Residential,,0,7052.9,3016.0,1941.0,1.0,0100 - Residential - Single Family Residence,338584.0,472665.0,811249.0,False,Not Eligible,,High,High,Methane Zone,Outside Flood Zone,,No [APN: 4306026009],,87.5,31.54,"{""zoning_score"": 40.0, ""lot_size_score"": 70.17633333333333, ""transit_bonus"": 0.0, ""financial_score"": 5.0, ""risk_penalty"": 5.0}",Hold/Income Property,D,34.0522,-118.33720000000001,5.36,9.12,3.45,8.59,6.3,3.63,Koreatown/Wilshire,1.75,Purple,2.44,55,0.0,2.0,0.0,2.0,33.54,D,Hold/Income Property
4,4306-026-010,129B165 794,9344 W OAKMORE RD,90035,CD 5 - Katy Young Yaroslavsky,West Los Angeles,South Robertson,R1,Single Family Residential,R1V2,Low Residential,,0,7052.8,2106.0,1941.0,1.0,0100 - Residential - Single Family Residence,464152.0,171791.0,635943.0,False,Not Eligible,,High,High,Methane Zone,Outside Flood Zone,,No [APN: 4306026010],,87.5,32.54,"{""zoning_score"": 40.0, ""lot_size_score"": 70.176, ""transit_bonus"": 0.0, ""financial_score"": 15.0, ""risk_penalty"": 5.0}",SB9 Lot Split Opportunity,D,34.0522,-118.33714,5.36,9.12,3.45,8.59,6.3,3.62,Koreatown/Wilshire,1.75,Purple,2.44,55,0.0,2.0,0.0,2.0,34.54,D,SB9 Lot Split Opportunity
5,4306-026-011,129B165 800,9338 W OAKMORE RD,90035,CD 5 - Katy Young Yaroslavsky,West Los Angeles,South Robertson,R1,Single Family Residential,R1V2,Low Residential,,0,6771.8,2046.0,1941.0,1.0,0100 - Residential - Single Family Residence,443241.0,225424.0,668665.0,False,Not Eligible,,High,High,Methane Zone,Outside Flood Zone,,No [APN: 4306026011],,87.5,31.21,"{""zoning_score"": 40.0, ""lot_size_score"": 68.85900000000001, ""transit_bonus"": 0.0, ""financial_score"": 5.0, ""risk_penalty"": 5.0}",SB9 Lot Split Opportunity,D,34.0522,-118.33708,5.36,9.13,3.45,8.59,6.31,3.62,Koreatown/Wilshire,1.74,Purple,2.44,55,0.0,2.0,0.0,2.0,33.21,D,SB9 Lot Split Opportunity
6,4306-026-012,129B165 810,9332 W OAKMORE RD,90035,CD 5 - Katy Young Yaroslavsky,West Los Angeles,South Robertson,R1,Single Family Residential,R1V2,Low Residential,,0,6682.9,4656.0,2005.0,1.0,0100 - Residential - Single Family Residence,1636063.0,3555046.0,5191109.0,False,Not Eligible,,High,High,Methane Zone,Outside Flood Zone,,No [APN: 4306026012],,87.5,30.6,"{""zoning_score"": 40.0, ""lot_size_score"": 68.4145, ""transit_bonus"": 0.0, ""financial_score"": 0.0, ""risk_penalty"": 5.0}",Hold/Income Property,D,34.0522,-118.33702000000001,5.35,9.13,3.45,8.59,6.31,3.62,Koreatown/Wilshire,1.74,Purple,2.43,55,0.0,2.0,0.0,2.0,32.6,D,Hold/Income Property
7,4306-026-013,129B169 1169,9326 W OAKMORE RD,90035,CD 5 - Katy Young Yaroslavsky,West Los Angeles,South Robertson,R1,Single Family Residential,R1V2,Low Residential,,0,6867.1,2761.0,1941.0,1.0,0100 - Residential - Single Family Residence,1115240.0,419322.0,1534562.0,False,Not Eligible,,High,High,Methane Zone,Outside Flood Zone,,No [APN: 4306026013],,87.5,32.33,"{""zoning_score"": 40.0, ""lot_size_score"": 69.3355, ""transit_bonus"": 0.0, ""financial_score"": 15.0, ""risk_penalty"": 5.0}",SB9 Lot Split Opportunity,D,34.0522,-118.33696,5.35,9.13,3.45,8.59,6.31,3.62,Koreatown/Wilshire,1.74,Purple,2.43,55,0.0,2.0,0.0,2.0,34.33,D,SB9 Lot Split Opportunity
8,4306-026-014,129B169 1179,9320 W OAKMORE RD,90035,CD 5 - Katy Young Yaroslavsky,West Los Angeles,South Robertson,R1,Single Family Residential,R1V2,Low Residential,,0,7216.8,5031.0,2007.0,1.0,0101 - Residential - Single Family Residence - Pool,1554392.0,1387676.0,2942068.0,False,Not Eligible,,High,High,Methane Zone,Outside Flood Zone,,No [APN: 4306026014],,87.5,31.18,"{""zoning_score"": 40.0, ""lot_size_score"": 70.72266666666667, ""transit_bonus"": 0.0, ""financial_score"": 0.0, ""risk_penalty"": 5.0}",Hold/Income Property,D,34.0522,-118.3369,5.35,9.14,3.45,8.6,6.32,3.61,Koreatown/Wilshire,1.73,Purple,2.43,55,0.0,2.0,0.0,2.0,33.18,D,Hold/Income Property
9,4306-026-015,129B169 1188,9314 W OAKMORE RD,90035,CD 5 - Katy Young Yaroslavsky,West Los Angeles,South Robertson,R1,Single Family Residential,R1V2,Low Residential,,0,7490.4,4349.0,2017.0,1.0,0101 - Residential - Single Family Residence - Pool,2098446.0,1944012.0,4042458.0,False,Not Eligible,,High,High,Methane Zone,Outside Flood Zone,,No [APN: 4306026015],,87.5,31.41,"{""zoning_score"": 40.0, ""lot_size_score"": 71.63466666666666, ""transit_bonus"": 0.0, ""financial_score"": 0.0, ""risk_penalty"": 5.0}",Hold/Income Property,D,34.0522,-118.33684000000001,5.34,9.14,3.45,8.6,6.32,3.61,Koreatown/Wilshire,1.73,Purple,2.42,55,0.0,2.0,0.0,2.0,33.41,D,Hold/Income Property
10,4306-026-016,129B169 1192,9308 W OAKMORE RD,90035,CD 5 - Katy Young Yaroslavsky,West Los Angeles,South Robertson,R1,Single Family Residential,R1V2,Low Residential,,0,7592.2,4581.0,1940.0,1.0,0101 - Residential - Single Family Residence - Pool,340992.0,681740.0,1022732.0,False,Not Eligible,,High,High,Methane Zone,Outside Flood Zone,,No [APN: 4306026016],,87.5,31.49,"{""zoning_score"": 40.0, ""lot_size_score"": 71.974, ""transit_bonus"": 0.0, ""financial_score"": 0.0, ""risk_penalty"": 5.0}",Hold/Income Property,D,34.0522,-118.33678,5.34,9.14,3.45,8.6,6.33,3.61,Koreatown/Wilshire,1.73,Purple,2.42,55,0.0,2.0,0.0,2.0,33.49,D,Hold/Income Property
